Code,GeoFips,GeoName,TimePeriod,CL_UNIT,UNIT_MULT,DataValue
SQGDP9-1,00000,United States,2005Q1,Millions of chained 2017 dollars,6,15844727.0
SQGDP9-1,00000,United States,2005Q2,Millions of chained 2017 dollars,6,15922782.0
SQGDP9-1,00000,United States,2005Q3,Millions of chained 2017 dollars,6,16047587.0
SQGDP9-1,00000,United States,2005Q4,Millions of chained 2017 dollars,6,16136734.0
SQGDP9-1,00000,United States,2006Q1,Millions of chained 2017 dollars,6,16353835.0
SQGDP9-1,00000,United States,2006Q2,Millions of chained 2017 dollars,6,16396151.0
SQGDP9-1,00000,United States,2006Q3,Millions of chained 2017 dollars,6,16420738.0
SQGDP9-1,00000,United States,2006Q4,Millions of chained 2017 dollars,6,16561866.0
SQGDP9-1,00000,United States,2007Q1,Millions of chained 2017 dollars,6,16611690.0
SQGDP9-1,00000,United States,2007Q2,Millions of chained 2017 dollars,6,16713314.0
SQGDP9-1,00000,United States,2007Q3,Millions of chained 2017 dollars,6,16809587.0
SQGDP9-1,00000,United States,2007Q4,Millions of chained 2017 dollars,6,16915191.0
SQGDP9-1,00000,United States,2008Q1,Millions of chained 2017 dollars,6,16843003.0
SQGDP9-1,00000,United States,2008Q2,Millions of chained 2017 dollars,6,16943291.0
SQGDP9-1,00000,United States,2008Q3,Millions of chained 2017 dollars,6,16854295.0
SQGDP9-1,00000,United States,2008Q4,Millions of chained 2017 dollars,6,16485350.0
SQGDP9-1,00000,United States,2009Q1,Millions of chained 2017 dollars,6,16298262.0
SQGDP9-1,00000,United States,2009Q2,Millions of chained 2017 dollars,6,16269145.0
SQGDP9-1,00000,United States,2009Q3,Millions of chained 2017 dollars,6,16326281.0
SQGDP9-1,00000,United States,2009Q4,Millions of chained 2017 dollars,6,16502754.0
SQGDP9-1,00000,United States,2010Q1,Millions of chained 2017 dollars,6,16582710.0
SQGDP9-1,00000,United States,2010Q2,Millions of chained 2017 dollars,6,16743162.0
SQGDP9-1,00000,United States,2010Q3,Millions of chained 2017 dollars,6,16872266.0
SQGDP9-1,00000,United States,2010Q4,Millions of chained 2017 dollars,6,16960864.0
SQGDP9-1,00000,United States,2011Q1,Millions of chained 2017 dollars,6,16920632.0
SQGDP9-1,00000,United States,2011Q2,Millions of chained 2017 dollars,6,17035114.0
SQGDP9-1,00000,United States,2011Q3,Millions of chained 2017 dollars,6,17031313.0
SQGDP9-1,00000,United States,2011Q4,Millions of chained 2017 dollars,6,17222583.0
SQGDP9-1,00000,United States,2012Q1,Millions of chained 2017 dollars,6,17367010.0
SQGDP9-1,00000,United States,2012Q2,Millions of chained 2017 dollars,6,17444525.0
SQGDP9-1,00000,United States,2012Q3,Millions of chained 2017 dollars,6,17469650.0
SQGDP9-1,00000,United States,2012Q4,Millions of chained 2017 dollars,6,17489852.0
SQGDP9-1,00000,United States,2013Q1,Millions of chained 2017 dollars,6,17662400.0
SQGDP9-1,00000,United States,2013Q2,Millions of chained 2017 dollars,6,17709671.0
SQGDP9-1,00000,United States,2013Q3,Millions of chained 2017 dollars,6,17860450.0
SQGDP9-1,00000,United States,2013Q4,Millions of chained 2017 dollars,6,18016147.0
SQGDP9-1,00000,United States,2014Q1,Millions of chained 2017 dollars,6,17953974.0
SQGDP9-1,00000,United States,2014Q2,Millions of chained 2017 dollars,6,18185911.0
SQGDP9-1,00000,United States,2014Q3,Millions of chained 2017 dollars,6,18406941.0
SQGDP9-1,00000,United States,2014Q4,Millions of chained 2017 dollars,6,18500031.0
SQGDP9-1,00000,United States,2015Q1,Millions of chained 2017 dollars,6,18666621.0
SQGDP9-1,00000,United States,2015Q2,Millions of chained 2017 dollars,6,18782243.0
SQGDP9-1,00000,United States,2015Q3,Millions of chained 2017 dollars,6,18857418.0
SQGDP9-1,00000,United States,2015Q4,Millions of chained 2017 dollars,6,18892206.0
SQGDP9-1,00000,United States,2016Q1,Millions of chained 2017 dollars,6,19001690.0
SQGDP9-1,00000,United States,2016Q2,Millions of chained 2017 dollars,6,19062709.0
SQGDP9-1,00000,United States,2016Q3,Millions of chained 2017 dollars,6,19197938.0
SQGDP9-1,00000,United States,2016Q4,Millions of chained 2017 dollars,6,19304352.0
SQGDP9-1,00000,United States,2017Q1,Millions of chained 2017 dollars,6,19398343.0
SQGDP9-1,00000,United States,2017Q2,Millions of chained 2017 dollars,6,19506949.0
SQGDP9-1,00000,United States,2017Q3,Millions of chained 2017 dollars,6,19660766.0
SQGDP9-1,00000,United States,2017Q4,Millions of chained 2017 dollars,6,19882352.0
SQGDP9-1,00000,United States,2018Q1,Millions of chained 2017 dollars,6,20044077.0
SQGDP9-1,00000,United States,2018Q2,Millions of chained 2017 dollars,6,20150476.0
SQGDP9-1,00000,United States,2018Q3,Millions of chained 2017 dollars,6,20276154.0
SQGDP9-1,00000,United States,2018Q4,Millions of chained 2017 dollars,6,20304874.0
SQGDP9-1,00000,United States,2019Q1,Millions of chained 2017 dollars,6,20431641.0
SQGDP9-1,00000,United States,2019Q2,Millions of chained 2017 dollars,6,20602275.0
SQGDP9-1,00000,United States,2019Q3,Millions of chained 2017 dollars,6,20843322.0
SQGDP9-1,00000,United States,2019Q4,Millions of chained 2017 dollars,6,20985448.0
SQGDP9-1,00000,United States,2020Q1,Millions of chained 2017 dollars,6,20709212.0
SQGDP9-1,00000,United States,2020Q2,Millions of chained 2017 dollars,6,19077992.0
SQGDP9-1,00000,United States,2020Q3,Millions of chained 2017 dollars,6,20558879.0
SQGDP9-1,00000,United States,2020Q4,Millions of chained 2017 dollars,6,20791917.0
SQGDP9-1,00000,United States,2021Q1,Millions of chained 2017 dollars,6,21082134.0
SQGDP9-1,00000,United States,2021Q2,Millions of chained 2017 dollars,6,21440929.0
SQGDP9-1,00000,United States,2021Q3,Millions of chained 2017 dollars,6,21617828.0
SQGDP9-1,00000,United States,2021Q4,Millions of chained 2017 dollars,6,21988737.0
SQGDP9-1,00000,United States,2022Q1,Millions of chained 2017 dollars,6,21932710.0
SQGDP9-1,00000,United States,2022Q2,Millions of chained 2017 dollars,6,21967045.0
SQGDP9-1,00000,United States,2022Q3,Millions of chained 2017 dollars,6,22125625.0
SQGDP9-1,00000,United States,2022Q4,Millions of chained 2017 dollars,6,22278345.0
