GeoFips,GeoName,LineCode,IndustryName
00000,United States,1,Real GDP by state: All industry total
00000,United States,10,Real GDP by state: Utilities (22)
00000,United States,11,Real GDP by state: Construction (23)
00000,United States,12,Real GDP by state: Manufacturing (31-33)
00000,United States,13,"Real GDP by state: Durable goods manufacturing (321,327-339)"
00000,United States,2,Real GDP by state: Private industries
00000,United States,25,"Real GDP by state: Nondurable goods manufacturing (311-316,322-326)"
00000,United States,3,"Real GDP by state: Agriculture, forestry, fishing and hunting (11)"
00000,United States,34,Real GDP by state: Wholesale trade (42)
00000,United States,35,Real GDP by state: Retail trade (44-45)
00000,United States,36,Real GDP by state: Transportation and warehousing (48-49)
00000,United States,45,Real GDP by state: Information (51)
00000,United States,51,Real GDP by state: Finance and insurance (52)
00000,United States,56,Real GDP by state: Real estate and rental and leasing (53)
00000,United States,6,"Real GDP by state: Mining, quarrying, and oil and gas extraction (21)"
00000,United States,60,"Real GDP by state: Professional, scientific, and technical services (54)"
00000,United States,64,Real GDP by state: Management of companies and enterprises (55)
00000,United States,65,Real GDP by state: Administrative and support and waste management and remediation services (56)
00000,United States,69,Real GDP by state: Educational services (61)
00000,United States,70,Real GDP by state: Health care and social assistance (62)
00000,United States,76,"Real GDP by state: Arts, entertainment, and recreation (71)"
00000,United States,79,Real GDP by state: Accommodation and food services (72)
00000,United States,82,Real GDP by state: Other services (except government and government enterprises) (81)
00000,United States,83,Real GDP by state: Government and government enterprises (92)
00000,United States,84,Real GDP by state: Federal civilian
00000,United States,85,Real GDP by state: Military
00000,United States,86,Real GDP by state: State and local
01000,Alabama,1,Real GDP by state: All industry total
01000,Alabama,10,Real GDP by state: Utilities (22)
01000,Alabama,11,Real GDP by state: Construction (23)
01000,Alabama,12,Real GDP by state: Manufacturing (31-33)
01000,Alabama,13,"Real GDP by state: Durable goods manufacturing (321,327-339)"
01000,Alabama,2,Real GDP by state: Private industries
01000,Alabama,25,"Real GDP by state: Nondurable goods manufacturing (311-316,322-326)"
01000,Alabama,3,"Real GDP by state: Agriculture, forestry, fishing and hunting (11)"
01000,Alabama,34,Real GDP by state: Wholesale trade (42)
01000,Alabama,35,Real GDP by state: Retail trade (44-45)
01000,Alabama,36,Real GDP by state: Transportation and warehousing (48-49)
01000,Alabama,45,Real GDP by state: Information (51)
01000,Alabama,51,Real GDP by state: Finance and insurance (52)
01000,Alabama,56,Real GDP by state: Real estate and rental and leasing (53)
01000,Alabama,6,"Real GDP by state: Mining, quarrying, and oil and gas extraction (21)"
01000,Alabama,60,"Real GDP by state: Professional, scientific, and technical services (54)"
01000,Alabama,64,Real GDP by state: Management of companies and enterprises (55)
01000,Alabama,65,Real GDP by state: Administrative and support and waste management and remediation services (56)
01000,Alabama,69,Real GDP by state: Educational services (61)
01000,Alabama,70,Real GDP by state: Health care and social assistance (62)
01000,Alabama,76,"Real GDP by state: Arts, entertainment, and recreation (71)"
01000,Alabama,79,Real GDP by state: Accommodation and food services (72)
01000,Alabama,82,Real GDP by state: Other services (except government and government enterprises) (81)
01000,Alabama,83,Real GDP by state: Government and government enterprises (92)
01000,Alabama,84,Real GDP by state: Federal civilian
01000,Alabama,85,Real GDP by state: Military
01000,Alabama,86,Real GDP by state: State and local
02000,Alaska,1,Real GDP by state: All industry total
02000,Alaska,10,Real GDP by state: Utilities (22)
02000,Alaska,11,Real GDP by state: Construction (23)
02000,Alaska,12,Real GDP by state: Manufacturing (31-33)
02000,Alaska,13,"Real GDP by state: Durable goods manufacturing (321,327-339)"
02000,Alaska,2,Real GDP by state: Private industries
02000,Alaska,25,"Real GDP by state: Nondurable goods manufacturing (311-316,322-326)"
02000,Alaska,3,"Real GDP by state: Agriculture, forestry, fishing and hunting (11)"
02000,Alaska,34,Real GDP by state: Wholesale trade (42)
02000,Alaska,35,Real GDP by state: Retail trade (44-45)
02000,Alaska,36,Real GDP by state: Transportation and warehousing (48-49)
02000,Alaska,45,Real GDP by state: Information (51)
02000,Alaska,51,Real GDP by state: Finance and insurance (52)
02000,Alaska,56,Real GDP by state: Real estate and rental and leasing (53)
02000,Alaska,6,"Real GDP by state: Mining, quarrying, and oil and gas extraction (21)"
02000,Alaska,60,"Real GDP by state: Professional, scientific, and technical services (54)"
02000,Alaska,64,Real GDP by state: Management of companies and enterprises (55)
02000,Alaska,65,Real GDP by state: Administrative and support and waste management and remediation services (56)
02000,Alaska,69,Real GDP by state: Educational services (61)
02000,Alaska,70,Real GDP by state: Health care and social assistance (62)
02000,Alaska,76,"Real GDP by state: Arts, entertainment, and recreation (71)"
02000,Alaska,79,Real GDP by state: Accommodation and food services (72)
02000,Alaska,82,Real GDP by state: Other services (except government and government enterprises) (81)
02000,Alaska,83,Real GDP by state: Government and government enterprises (92)
02000,Alaska,84,Real GDP by state: Federal civilian
02000,Alaska,85,Real GDP by state: Military
02000,Alaska,86,Real GDP by state: State and local
04000,Arizona,1,Real GDP by state: All industry total
04000,Arizona,10,Real GDP by state: Utilities (22)
04000,Arizona,11,Real GDP by state: Construction (23)
04000,Arizona,12,Real GDP by state: Manufacturing (31-33)
04000,Arizona,13,"Real GDP by state: Durable goods manufacturing (321,327-339)"
04000,Arizona,2,Real GDP by state: Private industries
04000,Arizona,25,"Real GDP by state: Nondurable goods manufacturing (311-316,322-326)"
04000,Arizona,3,"Real GDP by state: Agriculture, forestry, fishing and hunting (11)"
04000,Arizona,34,Real GDP by state: Wholesale trade (42)
04000,Arizona,35,Real GDP by state: Retail trade (44-45)
04000,Arizona,36,Real GDP by state: Transportation and warehousing (48-49)
04000,Arizona,45,Real GDP by state: Information (51)
04000,Arizona,51,Real GDP by state: Finance and insurance (52)
04000,Arizona,56,Real GDP by state: Real estate and rental and leasing (53)
04000,Arizona,6,"Real GDP by state: Mining, quarrying, and oil and gas extraction (21)"
04000,Arizona,60,"Real GDP by state: Professional, scientific, and technical services (54)"
