LineCode,IndustryName
1,Real GDP by state: All industry total
10,Real GDP by state: Utilities (22)
11,Real GDP by state: Construction (23)
12,Real GDP by state: Manufacturing (31-33)
13,"Real GDP by state: Durable goods manufacturing (321,327-339)"
2,Real GDP by state: Private industries
25,"Real GDP by state: Nondurable goods manufacturing (311-316,322-326)"
3,"Real GDP by state: Agriculture, forestry, fishing and hunting (11)"
34,Real GDP by state: Wholesale trade (42)
35,Real GDP by state: Retail trade (44-45)
36,Real GDP by state: Transportation and warehousing (48-49)
45,Real GDP by state: Information (51)
51,Real GDP by state: Finance and insurance (52)
56,Real GDP by state: Real estate and rental and leasing (53)
6,"Real GDP by state: Mining, quarrying, and oil and gas extraction (21)"
60,"Real GDP by state: Professional, scientific, and technical services (54)"
64,Real GDP by state: Management of companies and enterprises (55)
65,Real GDP by state: Administrative and support and waste management and remediation services (56)
69,Real GDP by state: Educational services (61)
70,Real GDP by state: Health care and social assistance (62)
76,"Real GDP by state: Arts, entertainment, and recreation (71)"
79,Real GDP by state: Accommodation and food services (72)
82,Real GDP by state: Other services (except government and government enterprises) (81)
83,Real GDP by state: Government and government enterprises (92)
84,Real GDP by state: Federal civilian
85,Real GDP by state: Military
86,Real GDP by state: State and local
